Tipo de Producto;Producto;Código Barras;SKU;Stock;Costo Neto Prom. Unitario;Costo Neto Prom. Total;Cantidad por Despachar;Cantidad Disponible;Por Recibir;Marca;Lista de Precios;Precio Venta Bruto;Margen Unitario
PROTECCIÓN VISTA;ANTIPARRA - ARIZONA AF GRIS;7807010007783;7807010007783;7;1907;13349;0;7;0;;CLIENTE LOCAL ARCAM VIGENTE;6900;3891,32
PROTECCIÓN VISTA;ANTIPARRA - GETPRO CLARA;1712347182528;1712347182528;34;2610;88740;0;34;0;;CLIENTE LOCAL ARCAM VIGENTE;7900;4028,66
PROTECCIÓN VISTA;ANTIPARRA - LIBUS FLEX AVIATOR GRIS;1628275630115;1628275630115;50;1490;74500;0;50;0;;CLIENTE LOCAL ARCAM VIGENTE;6900;4308,32
PROTECCIÓN VISTA;ANTIPARRA APLICACION DAUMER XTREM - GRIS;1566493106096;1566493106096;93;2490;231570;0;93;0;;CLIENTE LOCAL ARCAM VIGENTE;6900;3308,32
PROTECCIÓN VISTA;ANTIPARRA APLICACIÓN STEELPRO - K2 CLARO;7798145200999;7798145200999;6;3695;22170;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;10550;5170,55
PROTECCIÓN VISTA;ANTIPARRA APLICACIÓN STEELPRO - K2 IN-OUT;1581350851789;1581350851789;34;3595;122230;0;34;0;;CLIENTE LOCAL ARCAM VIGENTE;10550;5270,55
PROTECCIÓN VISTA;ANTIPARRA APLICACIÓN STEELPRO - K2 OSCURO;1530626790596;1530626790596;25;3595;89875;0;25;0;;CLIENTE LOCAL ARCAM VIGENTE;10550;5270,55
PROTECCIÓN VISTA;ANTIPARRA APLICACIÓN STEELPRO - NEW WIN CLARO;1723221303167;1723221303166;4;3492;13968;0;4;0;;CLIENTE LOCAL ARCAM VIGENTE;8900;3986,99
PROTECCIÓN VISTA;ANTIPARRA APLICACIÓN STEELPRO - SPY OSCURO;1628107336257;1628107336257;9;1990;17910;0;9;0;;CLIENTE LOCAL ARCAM VIGENTE;5900;2967,98
PROTECCIÓN VISTA;ANTIPARRA APLICACION SUNSHINE ANTIFOG - CLARA;1585745181531;2762242300031;141;2500;352500;0;141;0;;CLIENTE LOCAL ARCAM VIGENTE;7440;3752,10
PROTECCIÓN VISTA;ANTIPARRA TIPO BEST  L-400 - CLARA;7809808033639;7809808033639;50;470;23500;0;50;0;;CLIENTE LOCAL ARCAM VIGENTE;1490;782,10
PROTECCIÓN VISTA;ANTIPARRA TIPO BEST  L-400 - OSCURA;7809808041337;7809808041337;58;417;24186;0;58;0;;CLIENTE LOCAL ARCAM VIGENTE;1490;835,10
PROTECCIÓN CAIDA;ARNES - PARACAIDISTA 4 ARGOLLAS KL8000-4 TALLA M/L;1616792661045;1616792661045;9;8015;72135;0;9;0;;CLIENTE LOCAL ARCAM VIGENTE;21680;10203,49
PROTECCIÓN CAIDA;ARNES - PARACAIDISTA 4 ARGOLLAS KL8000-4 TALLA XL;1618237236883;1618237236883;1;7715;7715;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;21680;10503,49
PROTECCIÓN CAIDA;ARNES - PARACAIDISTA 4 ARGOLLAS KL8000-4 TALLA XXL;1619096533260;1619096533260;9;7850;70650;0;9;0;;CLIENTE LOCAL ARCAM VIGENTE;21680;10368,49
PROTECCIÓN CAIDA;ARNES PARACAIDISTA 3 ARGOLLAS - TALLA 3XL;76287616446856;76287616446856;8;8121;64968;0;8;0;;CLIENTE LOCAL ARCAM VIGENTE;0;-8121
PROTECCIÓN CAIDA;ARNES PARACAIDISTA 3 ARGOLLAS - Talla M - L;7809808048336;7809808048336;7;6731;47117;0;7;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;7470,68
PROTECCIÓN CAIDA;ARNES PARACAIDISTA 3 ARGOLLAS - Talla XL;1532532672637;1532532672637;7;6731;47117;0;7;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;7470,68
PROTECCIÓN CAIDA;ARNES PARACAIDISTA 3 ARGOLLAS - talla XXL;1690898398910;1690898398910;6;7820;46920;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;18900;8062,35
PROTECCIÓN CAIDA;ARNÉS PLASTICO DE CASCO ECONÓMICO (UND);1548873619074;1548873619074;6;814;4884;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;2900;1622,97
ACCESORIOS ;BALACLAVA - BALACLAVA MOTORISTA;1684275403632;1684275403632;6;4246;25476;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;7590;2132,15
ACCESORIOS ;BALACLAVA - BLANCA;75935196313905;75935196313905;30;2790;83700;0;30;0;;CLIENTE LOCAL ARCAM VIGENTE;4990;1403,28
ACCESORIOS ;BALACLAVA - NOMEX IGNIFUGA;1659108076581;1659108076581;3;9990;29970;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;39900;23539,41
ACCESORIOS ;BALACLAVA - TERMICA NEGRA LEGEND;1600978219828;1600978219828;39;2190;85410;0;39;0;;CLIENTE LOCAL ARCAM VIGENTE;6900;3608,32
ACCESORIOS ;BALACLAVA - TERMICA NEGRA SIBERIA;1715609281333;7807793455009;90;1590;143100;0;90;0;;CLIENTE LOCAL ARCAM VIGENTE;3900;1687,31
ACCESORIOS ;BALACLAVA - TIPO MONJA BLANCA;1530306471006;1530306471006;152;2950;448400;0;152;0;;CLIENTE LOCAL ARCAM VIGENTE;6500;2512,18
ACCESORIOS ;BALACLAVA HW - NEGRO NO WIND;7798158246014;7798158246014;3;4820;14460;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;14580;7432,10
ACCESORIOS ;BALACLAVA HW - ZERO;1702483489136;1702483489136;13;2300;29900;0;13;0;;CLIENTE LOCAL ARCAM VIGENTE;5500;2321,85
EQUIPO E INSTRUMENTOS ;BALANZA DIGITAL - 10 KILOS;1651587955178;1651587955178;10;2679;26790;0;10;0;;CLIENTE LOCAL ARCAM VIGENTE;8390;4371,42
EQUIPO E INSTRUMENTOS ;BALANZA DIGITAL - 100 KG FWYYBAF100;76003805406048;76003805406048;5;31000;155000;0;5;0;;CLIENTE LOCAL ARCAM VIGENTE;62900;21857,14
ABARROTES NO COMESTIBLES ;BALDE - ESTRUJADOR ROJO 15 LTS;1563567862739;1563567862738;4;7870;31480;0;4;0;;CLIENTE LOCAL ARCAM VIGENTE;17900;7172,02
ABARROTES NO COMESTIBLES ;BALDE - TAPA P/BALDE 20 LTS;1709242134133;1709242134133;26;914;23764;0;26;0;;CLIENTE LOCAL ARCAM VIGENTE;2900;1522,97
BOLSO;BANANOS - NEGRO;1535386675972;1535386675972;1;2248;2248;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;4900;1869,65
BOLSO;BANANOS - ROJO;1652380740515;1652380740515;6;1950;11700;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;4900;2167,65
BOLSO;BANANOS - VERDE;1639982157969;1639982157969;4;1590;6360;0;4;0;;CLIENTE LOCAL ARCAM VIGENTE;4900;2527,65
ACCESORIOS ;BANDANA NEGRO CHEF;1545403397164;1545403397164;1;1040;1040;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;4900;3077,65
SEÑALIZACIÓN ;BANDERINES;1561059570133;1561059570133;20;580;11600;0;20;0;;CLIENTE LOCAL ARCAM VIGENTE;1490;672,10
PROTECCIÓN CABEZA;BARBIQUEJOS GANCHO - METALICO;1890994820411;PRODUCTO011;149;230;34270;0;149;0;;CLIENTE LOCAL ARCAM VIGENTE;890;517,90
PROTECCIÓN CABEZA;BARBIQUEJOS GANCHO - PLASTICO;1890994820612;PRODUCTO012;6;220;1320;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;890;527,90
SEÑALIZACIÓN ;BARRA - EXTENSIBLE CONO AMARILLO/NEGRO;1722978219355;1722978219355;1;2050;2050;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;5260;2370,17
SEÑALIZACIÓN ;BARRA - EXTENSIBLE CONO ROJO/BLANCO;1564667572054;1564667572053;20;2130;42600;0;20;0;;CLIENTE LOCAL ARCAM VIGENTE;14900;10391,01
PROTECCIÓN DERMICA;BARRA DE PROTECCIÓN LABIAL SAFE PRO FPG 30+ 6 GR;1549466900110;1549466900109;40;830;33200;0;40;0;;CLIENTE LOCAL ARCAM VIGENTE;2490;1262,44
ABARROTES NO COMESTIBLES ;BARRE AGUA ARAGAN CON MANGO ALUMINIO - AZUL 55 CMS;1567799063723;1567799063723;16;14249;227984;0;16;0;;CLIENTE LOCAL ARCAM VIGENTE;27900;9196,38
ABARROTES NO COMESTIBLES ;BARRE AGUA ARAGAN CON MANGO ALUMINIO - AZUL 75 CMS;1595356474164;1595356474164;26;17045;443170;0;26;0;;CLIENTE LOCAL ARCAM VIGENTE;32900;10602,06
ABARROTES NO COMESTIBLES ;BASURERO - 120 LITROS AMARILLO C/PEDAL;1601490433811;1601490433811;1;23673;23673;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;85920;48528,68
ABARROTES NO COMESTIBLES ;BASURERO - 120 LITROS AZUL C/PEDAL;1601490442437;1601490442437;3;36899;110697;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;85920;35302,68
ABARROTES NO COMESTIBLES ;BASURERO - 120 LITROS NEGRO C/PEDAL;1686606453305;1686606453305;3;46501;139503;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;0,84;-46500,29
ABARROTES NO COMESTIBLES ;BASURERO - 120 LITROS VERDE C/PEDAL;1601490450725;1601490450725;3;29580,38;88741;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;85920;42621,30
